[watchdog_rf] start Sun Jun 14 17:38:10 UTC 2026 NAN_KILL=1 VAL_KILL=0 CAP_HOURS=8
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:39:10 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:40:10 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:41:10 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:42:11 UTC 2026 -- logging, not killing
[watchdog_rf] orchestrator absent tick 1 @ Sun Jun 14 17:43:11 UTC 2026
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:43:11 UTC 2026 -- logging, not killing
[watchdog_rf] orchestrator absent tick 2 @ Sun Jun 14 17:44:11 UTC 2026
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:44:11 UTC 2026 -- logging, not killing
[watchdog_rf] orchestrator absent tick 3 @ Sun Jun 14 17:45:11 UTC 2026
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:45:11 UTC 2026 -- logging, not killing
[watchdog_rf] orchestrator absent tick 4 @ Sun Jun 14 17:46:11 UTC 2026
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:46:11 UTC 2026 -- logging, not killing
[watchdog_rf] orchestrator absent tick 5 @ Sun Jun 14 17:47:11 UTC 2026
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:47:11 UTC 2026 -- logging, not killing
[watchdog_rf] orchestrator absent tick 6 @ Sun Jun 14 17:48:12 UTC 2026
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:48:12 UTC 2026 -- logging, not killing
[watchdog_rf] orchestrator absent tick 7 @ Sun Jun 14 17:49:12 UTC 2026
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:49:12 UTC 2026 -- logging, not killing
[watchdog_rf] orchestrator absent tick 8 @ Sun Jun 14 17:50:12 UTC 2026
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:50:12 UTC 2026 -- logging, not killing
[watchdog_rf] start Sun Jun 14 17:50:21 UTC 2026 NAN_KILL=1 VAL_KILL=0 CAP_HOURS=8
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:51:12 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:51:22 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:52:12 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:52:22 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:53:13 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:53:22 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:54:13 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:54:22 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:55:13 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:55:22 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:56:13 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:56:22 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:57:13 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:57:23 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:58:14 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:58:23 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:59:14 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 17:59:23 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:00:14 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:01:14 UTC 2026 -- logging, not killing
[watchdog_rf] WARN: gpu_util=0.0% (hang?) @ Sun Jun 14 18:01:23 UTC 2026 -- logging, not killing
